observation_id,district_id,group_id,income_scenario_id,year,offer_rent_per_sqm,flat_size_sqm,utilities_eur,warm_rent_eur,monthly_income_eur,housing_stress_score,affordability_status,rent_source_id,income_source_id
affordability_althen_kleinpoesna_students_bafog_only_2026,althen_kleinpoesna,students,bafog_only,2026,8.94,30,120,388.2,992,0.391,critical,wohnungsboerse_2026,bafoeg_2024
affordability_althen_kleinpoesna_students_bafog_plus_minijob_2026,althen_kleinpoesna,students,bafog_plus_minijob,2026,8.94,30,120,388.2,1595,0.243,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_altlindenau_students_bafog_only_2026,altlindenau,students,bafog_only,2026,10.29,30,120,428.7,992,0.432,critical,wohnungsboerse_2026,bafoeg_2024
affordability_altlindenau_students_bafog_plus_minijob_2026,altlindenau,students,bafog_plus_minijob,2026,10.29,30,120,428.7,1595,0.269,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_anger_crottendorf_students_bafog_only_2026,anger_crottendorf,students,bafog_only,2026,9.78,30,120,413.4,992,0.417,critical,wohnungsboerse_2026,bafoeg_2024
affordability_anger_crottendorf_students_bafog_plus_minijob_2026,anger_crottendorf,students,bafog_plus_minijob,2026,9.78,30,120,413.4,1595,0.259,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_baalsdorf_students_bafog_only_2026,baalsdorf,students,bafog_only,2026,9.31,30,120,399.3,992,0.403,critical,wohnungsboerse_2026,bafoeg_2024
affordability_baalsdorf_students_bafog_plus_minijob_2026,baalsdorf,students,bafog_plus_minijob,2026,9.31,30,120,399.3,1595,0.25,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_boehlitz_ehrenberg_students_bafog_only_2026,boehlitz_ehrenberg,students,bafog_only,2026,9.83,30,120,414.9,992,0.418,critical,wohnungsboerse_2026,bafoeg_2024
affordability_boehlitz_ehrenberg_students_bafog_plus_minijob_2026,boehlitz_ehrenberg,students,bafog_plus_minijob,2026,9.83,30,120,414.9,1595,0.26,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_burghausen_rueckmarsdorf_students_bafog_only_2026,burghausen_rueckmarsdorf,students,bafog_only,2026,10.6,30,120,438.0,992,0.442,critical,wohnungsboerse_2026,bafoeg_2024
affordability_burghausen_rueckmarsdorf_students_bafog_plus_minijob_2026,burghausen_rueckmarsdorf,students,bafog_plus_minijob,2026,10.6,30,120,438.0,1595,0.275,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_connewitz_students_bafog_only_2026,connewitz,students,bafog_only,2026,10.62,30,120,438.6,992,0.442,critical,wohnungsboerse_2026,bafoeg_2024
affordability_connewitz_students_bafog_plus_minijob_2026,connewitz,students,bafog_plus_minijob,2026,10.62,30,120,438.6,1595,0.275,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_doelitz_doesen_students_bafog_only_2026,doelitz_doesen,students,bafog_only,2026,9.42,30,120,402.6,992,0.406,critical,wohnungsboerse_2026,bafoeg_2024
affordability_doelitz_doesen_students_bafog_plus_minijob_2026,doelitz_doesen,students,bafog_plus_minijob,2026,9.42,30,120,402.6,1595,0.252,affordable,wohnungsboerse_2026,bafoeg_2024_minijob_2026
affordability_engelsdorf_students_bafog_only_2026,engelsdorf,students,bafog_only,2026,10.82,30,120,444.6,992,0.448,critical,wohnungsboerse_2026,bafoeg_2024
