district_id,district_name,city,country,linked_geo_uri,dbpedia_uri
althen_kleinpoesna,Althen-Kleinpösna,Leipzig,Germany,,
altlindenau,Altlindenau,Leipzig,Germany,,
anger_crottendorf,Anger-Crottendorf,Leipzig,Germany,,
baalsdorf,Baalsdorf,Leipzig,Germany,,
boehlitz_ehrenberg,Böhlitz-Ehrenberg,Leipzig,Germany,,
burghausen_rueckmarsdorf,Burghausen-Rückmarsdorf,Leipzig,Germany,,
connewitz,Connewitz,Leipzig,Germany,,
doelitz_doesen,Dölitz-Dösen,Leipzig,Germany,,
engelsdorf,Engelsdorf,Leipzig,Germany,,
eutritzsch,Eutritzsch,Leipzig,Germany,,
gohlis_mitte,Gohlis-Mitte,Leipzig,Germany,,
gohlis_nord,Gohlis-Nord,Leipzig,Germany,,
gohlis_sued,Gohlis-Süd,Leipzig,Germany,,
grosszschocher,Großzschocher,Leipzig,Germany,,
gruenau_mitte,Grünau-Mitte,Leipzig,Germany,,
gruenau_nord,Grünau-Nord,Leipzig,Germany,,
gruenau_ost,Grünau-Ost,Leipzig,Germany,,
gruenau_siedlung,Grünau-Siedlung,Leipzig,Germany,,
hartmannsdorf_knautnaundorf,Hartmannsdorf-Knautnaundorf,Leipzig,Germany,,
heiterblick,Heiterblick,Leipzig,Germany,,
holzhausen,Holzhausen,Leipzig,Germany,,
kleinzschocher,Kleinzschocher,Leipzig,Germany,,
knautkleeberg_knauthain,Knautkleeberg-Knauthain,Leipzig,Germany,,
lausen_gruenau,Lausen-Grünau,Leipzig,Germany,,
leutzsch,Leutzsch,Leipzig,Germany,,
liebertwolkwitz,Liebertwolkwitz,Leipzig,Germany,,
lindenau,Lindenau,Leipzig,Germany,,
lindenthal,Lindenthal,Leipzig,Germany,,
loessnig,Lößnig,Leipzig,Germany,,
luetzschena_stahmeln,Lützschena-Stahmeln,Leipzig,Germany,,
marienbrunn,Marienbrunn,Leipzig,Germany,,
meusdorf,Meusdorf,Leipzig,Germany,,
miltitz,Miltitz,Leipzig,Germany,,
mockau_nord,Mockau-Nord,Leipzig,Germany,,
mockau_sued,Mockau-Süd,Leipzig,Germany,,
moeckern,Möckern,Leipzig,Germany,,
moelkau,Mölkau,Leipzig,Germany,,
neulindenau,Neulindenau,Leipzig,Germany,,
neustadt_neuschoenefeld,Neustadt-Neuschönefeld,Leipzig,Germany,,
paunsdorf,Paunsdorf,Leipzig,Germany,,
plagwitz,Plagwitz,Leipzig,Germany,,
plaussig_portitz,Plaußig-Portitz,Leipzig,Germany,,
probstheida,Probstheida,Leipzig,Germany,,
reudnitz_thonberg,Reudnitz-Thonberg,Leipzig,Germany,,
schleussig,Schleußig,Leipzig,Germany,,
schoenau,Schönau,Leipzig,Germany,,
schoenefeld_abtnaundorf,Schönefeld-Abtnaundorf,Leipzig,Germany,,
schoenefeld_ost,Schönefeld-Ost,Leipzig,Germany,,
seehausen,Seehausen,Leipzig,Germany,,
sellerhausen_stuenz,Sellerhausen-Stünz,Leipzig,Germany,,
stoetteritz,Stötteritz,Leipzig,Germany,,
suedvorstadt,Südvorstadt,Leipzig,Germany,,
thekla,Thekla,Leipzig,Germany,,
volkmarsdorf,Volkmarsdorf,Leipzig,Germany,,
wahren,Wahren,Leipzig,Germany,,
wiederitzsch,Wiederitzsch,Leipzig,Germany,,
zentrum,Zentrum,Leipzig,Germany,,
zentrum_nord,Zentrum-Nord,Leipzig,Germany,,
zentrum_nordwest,Zentrum-Nordwest,Leipzig,Germany,,
zentrum_ost,Zentrum-Ost,Leipzig,Germany,,
zentrum_sued,Zentrum-Süd,Leipzig,Germany,,
zentrum_suedost,Zentrum-Südost,Leipzig,Germany,,
zentrum_west,Zentrum-West,Leipzig,Germany,,
