district_id,district_name,year,housing_units,source_id
zentrum,Zentrum,2020,2217,leipzig_housing_stock
zentrum_ost,Zentrum-Ost,2020,4007,leipzig_housing_stock
zentrum_suedost,Zentrum-Südost,2020,7549,leipzig_housing_stock
zentrum_sued,Zentrum-Süd,2020,8483,leipzig_housing_stock
zentrum_west,Zentrum-West,2020,6521,leipzig_housing_stock
zentrum_nordwest,Zentrum-Nordwest,2020,6030,leipzig_housing_stock
zentrum_nord,Zentrum-Nord,2020,5939,leipzig_housing_stock
schoenefeld_abtnaundorf,Schönefeld-Abtnaundorf,2020,7080,leipzig_housing_stock
schoenefeld_ost,Schönefeld-Ost,2020,6239,leipzig_housing_stock
mockau_sued,Mockau-Süd,2020,2886,leipzig_housing_stock
mockau_nord,Mockau-Nord,2020,6816,leipzig_housing_stock
thekla,Thekla,2020,3301,leipzig_housing_stock
plaussig_portitz,Plaußig-Portitz,2020,1357,leipzig_housing_stock
neustadt_neuschoenefeld,Neustadt-Neuschönefeld,2020,7479,leipzig_housing_stock
volkmarsdorf,Volkmarsdorf,2020,7049,leipzig_housing_stock
anger_crottendorf,Anger-Crottendorf,2020,7033,leipzig_housing_stock
sellerhausen_stuenz,Sellerhausen-Stünz,2020,5574,leipzig_housing_stock
paunsdorf,Paunsdorf,2020,8627,leipzig_housing_stock
heiterblick,Heiterblick,2020,2232,leipzig_housing_stock
moelkau,Mölkau,2020,3133,leipzig_housing_stock
engelsdorf,Engelsdorf,2020,4884,leipzig_housing_stock
baalsdorf,Baalsdorf,2020,800,leipzig_housing_stock
althen_kleinpoesna,Althen-Kleinpösna,2020,929,leipzig_housing_stock
reudnitz_thonberg,Reudnitz-Thonberg,2020,12555,leipzig_housing_stock
stoetteritz,Stötteritz,2020,9683,leipzig_housing_stock
probstheida,Probstheida,2020,3705,leipzig_housing_stock
meusdorf,Meusdorf,2020,1721,leipzig_housing_stock
liebertwolkwitz,Liebertwolkwitz,2020,2954,leipzig_housing_stock
holzhausen,Holzhausen,2020,3452,leipzig_housing_stock
suedvorstadt,Südvorstadt,2020,14267,leipzig_housing_stock
connewitz,Connewitz,2020,11110,leipzig_housing_stock
marienbrunn,Marienbrunn,2020,3228,leipzig_housing_stock
loessnig,Lößnig,2020,5906,leipzig_housing_stock
doelitz_doesen,Dölitz-Dösen,2020,2405,leipzig_housing_stock
schleussig,Schleußig,2020,6487,leipzig_housing_stock
plagwitz,Plagwitz,2020,8965,leipzig_housing_stock
kleinzschocher,Kleinzschocher,2020,6354,leipzig_housing_stock
grosszschocher,Großzschocher,2020,5513,leipzig_housing_stock
knautkleeberg_knauthain,Knautkleeberg-Knauthain,2020,2737,leipzig_housing_stock
hartmannsdorf_knautnaundorf,Hartmannsdorf-Knautnaundorf,2020,624,leipzig_housing_stock
schoenau,Schönau,2020,3141,leipzig_housing_stock
gruenau_ost,Grünau-Ost,2020,4483,leipzig_housing_stock
gruenau_mitte,Grünau-Mitte,2020,7642,leipzig_housing_stock
gruenau_siedlung,Grünau-Siedlung,2020,1903,leipzig_housing_stock
lausen_gruenau,Lausen-Grünau,2020,8535,leipzig_housing_stock
gruenau_nord,Grünau-Nord,2020,5388,leipzig_housing_stock
miltitz,Miltitz,2020,1081,leipzig_housing_stock
lindenau,Lindenau,2020,4737,leipzig_housing_stock
altlindenau,Altlindenau,2020,10592,leipzig_housing_stock
neulindenau,Neulindenau,2020,4075,leipzig_housing_stock
leutzsch,Leutzsch,2020,6256,leipzig_housing_stock
boehlitz_ehrenberg,Böhlitz-Ehrenberg,2020,5482,leipzig_housing_stock
burghausen_rueckmarsdorf,Burghausen-Rückmarsdorf,2020,2484,leipzig_housing_stock
moeckern,Möckern,2020,9349,leipzig_housing_stock
wahren,Wahren,2020,4157,leipzig_housing_stock
luetzschena_stahmeln,Lützschena-Stahmeln,2020,2134,leipzig_housing_stock
lindenthal,Lindenthal,2020,3599,leipzig_housing_stock
gohlis_sued,Gohlis-Süd,2020,10981,leipzig_housing_stock
gohlis_mitte,Gohlis-Mitte,2020,9963,leipzig_housing_stock
gohlis_nord,Gohlis-Nord,2020,5966,leipzig_housing_stock
eutritzsch,Eutritzsch,2020,8495,leipzig_housing_stock
seehausen,Seehausen,2020,1299,leipzig_housing_stock
wiederitzsch,Wiederitzsch,2020,4357,leipzig_housing_stock
zentrum,Zentrum,2021,2186,leipzig_housing_stock
zentrum_ost,Zentrum-Ost,2021,4291,leipzig_housing_stock
zentrum_suedost,Zentrum-Südost,2021,7618,leipzig_housing_stock
zentrum_sued,Zentrum-Süd,2021,8506,leipzig_housing_stock
zentrum_west,Zentrum-West,2021,6604,leipzig_housing_stock
zentrum_nordwest,Zentrum-Nordwest,2021,6111,leipzig_housing_stock
zentrum_nord,Zentrum-Nord,2021,5941,leipzig_housing_stock
schoenefeld_abtnaundorf,Schönefeld-Abtnaundorf,2021,7084,leipzig_housing_stock
schoenefeld_ost,Schönefeld-Ost,2021,6241,leipzig_housing_stock
mockau_sued,Mockau-Süd,2021,2892,leipzig_housing_stock
mockau_nord,Mockau-Nord,2021,6819,leipzig_housing_stock
thekla,Thekla,2021,3301,leipzig_housing_stock
plaussig_portitz,Plaußig-Portitz,2021,1360,leipzig_housing_stock
neustadt_neuschoenefeld,Neustadt-Neuschönefeld,2021,7477,leipzig_housing_stock
volkmarsdorf,Volkmarsdorf,2021,7064,leipzig_housing_stock
anger_crottendorf,Anger-Crottendorf,2021,7058,leipzig_housing_stock
sellerhausen_stuenz,Sellerhausen-Stünz,2021,5611,leipzig_housing_stock
paunsdorf,Paunsdorf,2021,8637,leipzig_housing_stock
heiterblick,Heiterblick,2021,2232,leipzig_housing_stock
moelkau,Mölkau,2021,3141,leipzig_housing_stock
engelsdorf,Engelsdorf,2021,4904,leipzig_housing_stock
baalsdorf,Baalsdorf,2021,807,leipzig_housing_stock
althen_kleinpoesna,Althen-Kleinpösna,2021,931,leipzig_housing_stock
reudnitz_thonberg,Reudnitz-Thonberg,2021,12683,leipzig_housing_stock
stoetteritz,Stötteritz,2021,9705,leipzig_housing_stock
probstheida,Probstheida,2021,3777,leipzig_housing_stock
meusdorf,Meusdorf,2021,1725,leipzig_housing_stock
liebertwolkwitz,Liebertwolkwitz,2021,2965,leipzig_housing_stock
holzhausen,Holzhausen,2021,3472,leipzig_housing_stock
suedvorstadt,Südvorstadt,2021,14297,leipzig_housing_stock
connewitz,Connewitz,2021,11249,leipzig_housing_stock
marienbrunn,Marienbrunn,2021,3216,leipzig_housing_stock
loessnig,Lößnig,2021,5906,leipzig_housing_stock
doelitz_doesen,Dölitz-Dösen,2021,2405,leipzig_housing_stock
schleussig,Schleußig,2021,6484,leipzig_housing_stock
plagwitz,Plagwitz,2021,8992,leipzig_housing_stock
kleinzschocher,Kleinzschocher,2021,6363,leipzig_housing_stock
grosszschocher,Großzschocher,2021,5544,leipzig_housing_stock
knautkleeberg_knauthain,Knautkleeberg-Knauthain,2021,2767,leipzig_housing_stock
hartmannsdorf_knautnaundorf,Hartmannsdorf-Knautnaundorf,2021,625,leipzig_housing_stock
schoenau,Schönau,2021,3141,leipzig_housing_stock
gruenau_ost,Grünau-Ost,2021,4483,leipzig_housing_stock
gruenau_mitte,Grünau-Mitte,2021,7642,leipzig_housing_stock
gruenau_siedlung,Grünau-Siedlung,2021,1908,leipzig_housing_stock
