street_name,house_number,residential_location,location_factor
Tröndlinring,2,Kerngebietslage,1.147
Tröndlinring,3,Kerngebietslage,1.147
Tröndlinring,7,Kerngebietslage,1.147
Tröndlinring,8,Kerngebietslage,1.147
Tröndlinring,9,Kerngebietslage,1.147
Willy-Brandt-Platz,1,Kerngebietslage,1.147
Willy-Brandt-Platz,1A,Kerngebietslage,1.147
Willy-Brandt-Platz,2A,Kerngebietslage,1.147
Willy-Brandt-Platz,2B,Kerngebietslage,1.147
Willy-Brandt-Platz,2C,Kerngebietslage,1.147
Willy-Brandt-Platz,2D,Kerngebietslage,1.147
Willy-Brandt-Platz,3,Kerngebietslage,1.147
Willy-Brandt-Platz,4,Kerngebietslage,1.147
Willy-Brandt-Platz,5,Kerngebietslage,1.147
Willy-Brandt-Platz,6,Kerngebietslage,1.147
Willy-Brandt-Platz,7,Kerngebietslage,1.147
Willy-Brandt-Platz,8,Kerngebietslage,1.147
Willy-Brandt-Platz,8A,Kerngebietslage,1.147
Willy-Brandt-Platz,8B,Kerngebietslage,1.147
Willy-Brandt-Platz,8C,Kerngebietslage,1.147
Willy-Brandt-Platz,8D,Kerngebietslage,1.147
Willy-Brandt-Platz,10,Innenstadt - einfache Lage,1.1
Georgiring,1,Kerngebietslage,1.147
Georgiring,3,Kerngebietslage,1.147
Georgiring,4,Kerngebietslage,1.147
Georgiring,5,Kerngebietslage,1.147
Georgiring,6,Kerngebietslage,1.147
Georgiring,7,Kerngebietslage,1.147
Georgiring,8,Kerngebietslage,1.147
Georgiring,9,Kerngebietslage,1.147
Georgiring,13,Kerngebietslage,1.147
Roßplatz,1,Kerngebietslage,1.147
Roßplatz,2,Kerngebietslage,1.147
Roßplatz,2A,Kerngebietslage,1.147
Roßplatz,3,Kerngebietslage,1.147
Roßplatz,4,Innenstadt - gute Lage,1.1
Roßplatz,5,Innenstadt - gute Lage,1.1
Roßplatz,6,Innenstadt - gute Lage,1.1
Roßplatz,7,Innenstadt - gute Lage,1.1
Roßplatz,8,Innenstadt - gute Lage,1.1
Roßplatz,8A,Innenstadt - gute Lage,1.1
Roßplatz,9,Innenstadt - gute Lage,1.1
Roßplatz,10,Innenstadt - gute Lage,1.1
Roßplatz,11,Innenstadt - gute Lage,1.1
Roßplatz,12,Innenstadt - gute Lage,1.1
Roßplatz,13,Innenstadt - gute Lage,1.1
Martin-Luther-Ring,2,Kerngebietslage,1.147
Martin-Luther-Ring,3,Kerngebietslage,1.147
Martin-Luther-Ring,4,Innenstadt - gute Lage,1.1
Martin-Luther-Ring,5,Kerngebietslage,1.147
Martin-Luther-Ring,6,Kerngebietslage,1.147
Martin-Luther-Ring,7,Kerngebietslage,1.147
Martin-Luther-Ring,8,Kerngebietslage,1.147
Martin-Luther-Ring,9,Kerngebietslage,1.147
Martin-Luther-Ring,10,Kerngebietslage,1.147
Martin-Luther-Ring,12,Kerngebietslage,1.147
Martin-Luther-Ring,13,Kerngebietslage,1.147
Dittrichring,1,Kerngebietslage,1.147
Dittrichring,2,Kerngebietslage,1.147
Dittrichring,4,Kerngebietslage,1.147
Dittrichring,5,Kerngebietslage,1.147
Dittrichring,6,Kerngebietslage,1.147
Dittrichring,7,Kerngebietslage,1.147
Dittrichring,8,Kerngebietslage,1.147
Dittrichring,9,Kerngebietslage,1.147
Dittrichring,10,Kerngebietslage,1.147
Dittrichring,11,Kerngebietslage,1.147
Dittrichring,12,Kerngebietslage,1.147
Dittrichring,13,Kerngebietslage,1.147
Dittrichring,14,Kerngebietslage,1.147
Dittrichring,15,Kerngebietslage,1.147
Dittrichring,16,Kerngebietslage,1.147
Dittrichring,17,Kerngebietslage,1.147
Dittrichring,18,Kerngebietslage,1.147
Dittrichring,20,Kerngebietslage,1.147
Dittrichring,21,Kerngebietslage,1.147
Dittrichring,22,Kerngebietslage,1.147
Dittrichring,24,Kerngebietslage,1.147
Goerdelerring,5,Kerngebietslage,1.147
Goerdelerring,7,Kerngebietslage,1.147
