"Gebiet","Sachmerkmal","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
Zentrum,Wohnungen,"1811","1646","1646","1643","1648","1712","1724","1724","1788","1916","1924","1940","1939,76","1939,76","1940","1940","1940","1944","1944","1974","2217","2186","2190","2190","2186"
Zentrum-Ost,Wohnungen,"2412","2402","2418","2375","2366","2371","2404","2399","2453","2464","2466","2883","2892,36","2891,36","2874","2892","2926","3136","3380","3516","4007","4291","4357","4371","4426"
Zentrum-Südost,Wohnungen,"5978","5932","5941","5975","5974","5981","5981","6008","6014","6136","6138","6547","6560,66","6562,66","6561","7011","7022","7090","7164","7260","7549","7618","7621","7630","7631"
Zentrum-Süd,Wohnungen,"7107","7097","7080","7053","6997","7029","7033","7057","7073","7079","7096","7681","7726,64","7731,64","7756","7955","8146","8225","8275","8306","8483","8506","8577","8637","8887"
Zentrum-West,Wohnungen,"4964","5074","5062","5032","5160","5149","5148","5155","5197","5207","5292","6124","6141,6","6210,6","6213","6254","6261","6272","6297","6412","6521","6604","6658","6668","6687"
Zentrum-Nordwest,Wohnungen,"4704","4745","4763","4763","4759","4773","4798","4808","4856","5097","5121","5778","5792,66","5816,66","5855","5844","5930","5970","5986","6015","6030","6111","6120","6119","6228"
Zentrum-Nord,Wohnungen,"4427","4432","4445","4440","4451","4453","4478","4483","4484","4539","4554","5407","5427,9","5427,9","5447","5477","5628","5667","5664","5673","5939","5941","5994","5997","6501"
Schönefeld-Abtnaundorf,Wohnungen,"7121","7131","7101","7055","6955","6949","6937","6947","6953","6973","6981","7007","7007,02","7009,02","7021","7034","7045","7055","7049","7067","7080","7084","7240","7283","7296"
Schönefeld-Ost,Wohnungen,"6067","6076","5949","5956","5957","5962","5863","5871","5875","5878","5881","6073","6072,66","6073,66","6075","6136","6136","6137","6188","6199","6239","6241","6243","6249","6261"
Mockau-Süd,Wohnungen,"2932","2950","2959","2959","2959","2958","2952","2952","2940","2938","2951","2870","2869,32","2869,32","2869","2871","2889","2876","2878","2877","2886","2892","2894","2899","2984"
Mockau-Nord,Wohnungen,"7230","7248","7090","7081","7079","6824","6798","6717","6711","6727","6731","6773","6777,26","6780,26","6778","6779","6790","6793","6799","6808","6816","6819","6833","6835","6841"
Thekla,Wohnungen,"3476","3487","3489","3534","3553","3557","3440","3358","3344","3348","3343","3222","3226,34","3242,34","3247","3257","3262","3278","3286","3288","3301","3301","3308","3312","3320"
Plaußig-Portitz,Wohnungen,"1106","1123","1144","1155","1162","1174","1184","1195","1201","1205","1208","1231","1235,3","1241,3","1244","1249","1258","1267","1275","1291","1357","1360","1394","1491","1543"
Neustadt-Neuschönefeld,Wohnungen,"7163","7137","7100","7031","6965","6967","6935","6900","6886","6866","6869","7222","7227,58","7235,58","7262","7268","7278","7294","7307","7327","7479","7477","7512","7605","7627"
Volkmarsdorf,Wohnungen,"7080","7057","6972","6947","6936","6919","6902","6881","6863","6865","6859","7042","7042,3","7036,3","7034","7028","7034","7035","7095","7052","7049","7064","7131","7131","7146"
Anger-Crottendorf,Wohnungen,"6825","6849","6935","6805","6709","6717","6721","6718","6708","6710","6717","6960","6960,96","6964,96","6966","6971","6983","6987","6986","7014","7033","7058","7071","7109","7306"
