"Gebiet","Sachmerkmal","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
Zentrum,Einwohnerdichte,"2951","2887","2431","2382","2376","2310,249894","2194,676571","2219,007797","2503,486003","2545,43630875847","2541","3271","2565,72942753894","2575,20205728197","2560,31648538592","2537,31152753626","2498,64864864865","2679,72972972973","2681,08108108108","2617,567568","2660,810811","2670,423802"
Zentrum-Ost,Einwohnerdichte,"2066","2191","2123","2113","2138","2189,50552","2241,001914","2307,644307","2449,576436","2586,31417025643","2665","2726","2781,57225871219","2962,65778662658","3128,35433113251","3354,40395498083","3407,40740740741","3754,32098765432","3877,16049382716","3864,197531","3921,604938","3968,540905"
Zentrum-Südost,Einwohnerdichte,"4015","4018","4045","3967","3965","3982,704068","3961,583668","3982,704068","3917,651327","3998,73700437609","4104","4585","4591,90014226143","4630,52777833023","4618,24894611856","4682,1030622073","4525,8785942492","4702,23642172524","4982,10862619808","5161,980831","5091,693291","4976,664042"
Zentrum-Süd,Einwohnerdichte,"6784","6864","6413","6434","6643","6797,513481","6962,542605","7099,263814","7764,201899","7935,08986406067","8137","8328","8497,31221784738","8599,70489406787","8702,09773117818","8710,41713627491","8614,10256410256","8994,23076923077","9160,25641025641","9245,512821","9313,461538","9524,257818"
Zentrum-West,Einwohnerdichte,"5763","5866","6311","6317","6534","6615,059723","6648,591047","6762,597551","6283,966791","6483,85319453043","6656","6822","6940,85041063761","6920,79892998008","6994,32108293458","7030,17070016098","6750,90909090909","7056,36363636364","7195,75757575758","7268,484848","7241,212121","7303,371992"
Zentrum-Nordwest,Einwohnerdichte,"2204","2269","2295","2360","2435","2505,484006","2504,212057","2546,186355","2576,985372","2609,32718315396","2676","2680","2707,11191247643","2749,05521819522","2731,36823663561","2731,62090714779","2703,03797468354","2779,24050632911","2836,96202531646","2810,126582","2830,886076","2836,746889"
Zentrum-Nord,Einwohnerdichte,"5664","5763","5760","5702","5751","5834,700057","5967,170027","6176,412367","6479,628635","6511,01995870326","6656","6849","7080,64582258166","7157,97554015095","7185,53865537899","7127,34995662472","6964,12213740458","7251,14503816794","7448,09160305344","7486,259542","7717,557252","8197,912202"
Schönefeld-Abtnaundorf,Einwohnerdichte,"3309","3285","3314","3342","3393","3480,333764","3606,61074","3745,164644","3760,409425","3874,11215038218","3973","4190","4352,99400348876","4411,55906836654","4488,27588829163","4518,75712095534","4552,05479452055","4619,52054794521","4783,56164383562","4837,671233","4835,273973","4797,124167"
Schönefeld-Ost,Einwohnerdichte,"3138","3122","3001","2948","2887","2839,753247","2807,070274","2786,605235","2859,949515","2898,76244472428","2885","2974","3065,74040822121","3124,58860066001","3121,14535635994","3099,54681763877","3107,21003134796","3125,39184952978","3218,18181818182","3229,153605","3287,774295","3284,320104"
Mockau-Süd,Einwohnerdichte,"3369","3325","3317","3277","3221","3148,749839","3333,873621","3415,328085","3332,246104","3319,57596629851","3468","3538","3648,31116611444","3734,62892541691","3790,06230746491","3834,4090457052","3878,57142857143","3876,19047619048","3928,57142857143","3950","3988,095238","4015,842105"
Mockau-Nord,Einwohnerdichte,"2491","2426","2319","2265","2243","2252,214226","2264,335706","2275,158456","2368,590845","2374,35491841802","2401","2466","2481,28332647618","2466,20762363483","2485,69354602373","2494,36844967429","2498,44444444444","2576,66666666667","2736","2778,666667","2608,666667","2770,850281"
Thekla,Einwohnerdichte,"843","843","802","790","795","804,5169089","805,3793534","795,3175017","772,908908","784,254616846279","793","806","821,974081333408","827,857331404301","824,721926549028","831,305134862174","835,434173669468","829,971988795518","845,93837535014","844,2577031","853,5014006","863,3799247"
Plaußig-Portitz,Einwohnerdichte,"390","389","380","370","372","351,5875173","348,8879422","341,5605241","360,5858524","361,819327407446","359","361","366,090415179604","363,349191554148","366,635529682256","379,925382589273","401,095890410959","427,945205479452","444,657534246575","458,3561644","474,3835616","509,2618558"
Neustadt-Neuschönefeld,Einwohnerdichte,"11514","11752","11465","11175","11206","11265,21069","11254,58313","11549,79306","12179,00542","12880,395623617","13248","13934","14841,0924536275","15062,3378252303","15333,1790169124","15567,3002955409","15601,1764705882","15837,6470588235","16276,4705882353","16572,94118","16763,52941","16746,14202"
Volkmarsdorf,Einwohnerdichte,"8123","7986","7524","7310","7391","7338,12434","7248,07473","7415,30972","8210,178343","8730,31914834003","9636","10659","11485,4820537283","12211,5867573752","12542,953810332","12683,7674814882","12764,4230769231","12980,7692307692","13470,1923076923","13616,34615","13675","13472,03859"
Anger-Crottendorf,Einwohnerdichte,"5230","8286","5262","5121","5155","5233,217117","5266,062703","5311,831141","5280,532979","5409,14647980264","5665","5920","6075,59053016269","6263,7725377341","6282,55914463173","6400,17253358849","6470","6524,21052631579","6637,36842105263","6605,263158","6775,789474","6871,976217"
Sellerhausen-Stünz,Einwohnerdichte,"2703","2717","2442","2402","2364","2363,37963","2342,286214","2328,223937","2587,721276","2640,7223947116","2751","2919","2979,93099647916","3043,26994818864","3100,64648419317","3132,28573403187","3128,33333333333","3176","3206,33333333333","3206","3257,333333","3257,277817"
Paunsdorf,Einwohnerdichte,"3842","3820","3962","3908","3858","3816,052047","3746,733535","3687,201166","3482,511734","3459,10160077853","3512","3610","3703,38397862549","3648,16276489899","3665,47061787823","3657,07116434098","3685,75063613232","3747,58269720102","3937,15012722646","3977,35369","4069,720102","3985,823473"
Heiterblick,Einwohnerdichte,"1119","1120","1115","1109","1083","1069,127573","1063,788609","1063,254713","1053,782332","973,132999609246","1126","1134","1139,65850596541","1139,65850596541","1146,98524553154","1138,44613708302","1116,46341463415","1114,32926829268","1111,28048780488","1110,060976","1104,878049","1094,071947"
Mölkau,Einwohnerdichte,"1192","1180","1171","1160","1165","1150,460146","1142,109726","1125,408886","1122,247944","1119,01489657392","1122","1141","1146,47373331965","1143,24047959263","1154,08945641693","1156,19301632092","1135,94646271511","1139,38814531549","1137,28489483748","1132,313576","1136,902486","1132,098574"
Engelsdorf,Einwohnerdichte,"1056","1058","1049","1049","1058","1064,15779","1086,520527","1097,701895","1108,990205","1152,39389835682","1108","1144","1155,39220163586","1151,61481730231","1136,68601849449","1137,90433148323","1127,64920828258","1134,95736906212","1152,37515225335","1144,457978","1141,656516","1141,437436"
Baalsdorf,Einwohnerdichte,"406","406","417","415","424","431,3374903","436,2157119","436,7292089","438,8891721","444,037432154749","456","462","465,1890236387","468,020832858415","477,351361964251","476,067469113352","476,349614395887","468,894601542416","473,264781491003","469,151671","471,722365","466,3098826"
Althen-Kleinpösna,Einwohnerdichte,"227","234","235","234","232","231,2372483","229,1937564","230,3768307","220,2195344","224,15582562336","229","230","232,471476702037","232,365082433524","225,364965055603","227,493057265759","224,042553191489","221,702127659574","228,085106382979","231,4893617","234,3617021","236,3969978"
Reudnitz-Thonberg,Einwohnerdichte,"8934","8956","8365","8371","8543","8471,141886","8558,550347","8839,472726","9629,081152","9850,82448705543","10132","10435","10675,3070951854","10895,0812349773","11067,5401689145","11258,2239034604","11190,6403940887","11351,2315270936","11570,4433497537","11649,26108","11883,25123","11901,58628"
Stötteritz,Einwohnerdichte,"3949","3973","3990","3996","4026","4006,458733","4051,211289","4108,947611","4140,83349","4211,12751036538","4316","4458","4564,70202937185","4643,14173007874","4741,92138839002","4752,96916523534","4782,74932614555","4851,21293800539","4949,05660377359","4993,800539","4947,439353","4888,499107"
Probstheida,Einwohnerdichte,"1222","1229","1222","1218","1231","1222,266068","1202,845343","1202,638739","1233,245001","1251,1389827955","1274","1309","1331,82109761352","1351,56701658972","1357,87936927034","1384,868020063","1380,41237113402","1402,47422680412","1450,92783505155","1459,793814","1488,659794","1468,101771"
Meusdorf,Einwohnerdichte,"1883","1865","1819","1827","1833","1808,077553","1798,312495","1763,877818","1767,327529","1753,96982093016","1762","1779","1763,81890457711","1762,27755394684","1757,21661482404","1732,55392549317","1705,64102564103","1708,71794871795","1733,33333333333","1800","2005,128205","2118,457222"
