"Gebiet","Sachmerkmal","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
Zentrum,Haushalte insgesamt,"1534","1509","1532","1410","1315","1325","1353","1377","1394","1584","1260","1262","1263","1274","1336","1355","1392","1402","1448","1472"
Zentrum-Ost,Haushalte insgesamt,"2280","2285","2336","2246","2276","2336","2494","2628","2677","2708","2816","3003","3164","3379","3502","3734","3866","3874","3930","3977"
Zentrum-Südost,Haushalte insgesamt,"8769","8543","8521","8413","8301","8252","8554","8730","8871","9581","9411","9578","9535","9690","9686","9796","10034","9989","9963","10073"
Zentrum-Süd,Haushalte insgesamt,"6993","7051","7244","7095","7223","7357","7633","7746","7908","8040","8227","8308","8421","8435","8448","8605","8705","8767","8846","8980"
Zentrum-West,Haushalte insgesamt,"6047","5956","6084","6008","5954","6005","6229","6398","6555","6676","6725","6714","6804","6829","6794","6827","6943","7088","7066","7136"
Zentrum-Nordwest,Haushalte insgesamt,"5235","5263","5344","5326","5222","5311","5461","5505","5579","5603","5585","5649","5608","5645","5646","5715","5820","5850","5897","5935"
Zentrum-Nord,Haushalte insgesamt,"4648","4603","4620","4529","4544","4662","4939","5037","5110","5280","5212","5260","5296","5308","5343","5519","5705","5796","6075","6509"
Schönefeld-Abtnaundorf,Haushalte insgesamt,"5320","5318","5385","5483","5655","5932","6186","6389","6555","6870","7229","7284","7437","7478","7607","7761","8006","8103","8091","8151"
Schönefeld-Ost,Haushalte insgesamt,"5778","5725","5661","5498","5446","5468","5486","5527","5546","5675","5736","5769","5773","5794","5885","5929","6023","6081","6100","6167"
Mockau-Süd,Haushalte insgesamt,"2358","2307","2278","2229","2330","2402","2469","2487","2567","2624","2624","2716","2778","2814","2906","2892","2886","2912","2943","3000"
Mockau-Nord,Haushalte insgesamt,"6004","5846","5833","5814","5866","5946","6056","6119","6184","6346","6399","6383","6415","6483","6540","6548","6633","6704","6760","6901"
Thekla,Haushalte insgesamt,"2910","2828","2859","2831","2846","2840","2857","2906","2931","2980","3068","3091","3210","3198","3224","3225","3265","3248","3278","3319"
